unit_id,method,row,segment,block,area_m2,height_max_m,height_mean_m,canopy_cover,volume_m3,n_pixels,data_coverage,vari_mean,exg_mean,gli_mean,height_max_m_pct,height_mean_m_pct,volume_m3_pct,canopy_cover_pct,vari_mean_pct,exg_mean_pct,gli_mean_pct
r043s026,rows,43,26,4120,0.7620000000461005,2.455820322036743,1.1649399509525789,0.8266666666666667,0.8737049632144342,300,1.0,0.09192032393046755,0.14564997970799717,0.10299214777638098,75.74918156635609,30.14354066985646,49.38302694535381,10.967010828506673,12.591286829513976,10.4507680684966,10.4507680684966
r043s027,rows,43,27,4120,0.7619999999878928,2.340743064880371,1.0736151226540036,0.8233333333333334,0.8052113419905028,300,1.0,0.08020407557454072,0.1333056090447921,0.0944245620865712,66.50717703349282,26.844623520523797,45.177537144296146,10.904054394359102,11.256610425585494,9.317552253840343,9.317552253840343
r043s028,rows,43,28,4120,0.6097010792527331,2.503833293914795,2.041664040585359,1.0,1.2249984243512155,240,1.0,0.2488542685340723,0.3168818729975628,0.2174560606251647,79.27474187861999,73.91085368924703,67.31301939058172,58.66280533870562,81.21380005036515,83.5054142533367,83.25358851674642
r043s029,rows,43,29,4121,0.3425239542649653,2.74800443649292,2.291168397444266,1.0,0.7732693341374399,135,1.0,0.2171149029342026,0.25757702035683017,0.17987850780166226,95.29085872576178,92.62150591790481,42.986653235960716,58.66280533870562,71.92143037018384,48.14908083606145,48.476454293628805
r043s030,rows,43,30,4121,0.7619999999878928,2.4757633209228516,1.9248275298795974,0.9766666666666667,1.4436206474096982,300,1.0,0.16288039290828074,0.22111160843119654,0.15437563550072822,77.38604885419291,63.18307731050113,78.01561319566859,14.366658272475446,49.634852681944096,25.157391085368925,24.351548728280033
r043s031,rows,43,31,4121,0.7620000000461005,2.068802833557129,0.5680257620244231,0.52,0.4260193215183174,300,1.0,-0.0042187264571215966,0.062249053845954284,0.04493276775710998,48.8290103248552,6.52228657768824,20.725258121380005,3.173004281037522,2.3923444976076556,1.586502140518761,1.6116847141777888
r043s032,rows,43,32,4121,0.7620000000461005,2.450545310974121,1.6443273259156437,0.9266666666666666,1.233245494436733,300,1.0,0.18847874613590887,0.22847600924194153,0.15997292694363033,75.29589524049358,51.221354822462864,67.96776630571645,12.85570385293377,62.57869554268446,28.733316544950892,28.330395366406446
r043s033,rows,43,33,4121,0.25909032838752477,2.4149155616760254,2.20637461684999,1.0,0.5791733369231226,105,1.0,0.23520966116625602,0.28843889364040887,0.19998516683184694,72.39989926970536,87.71090405439436,32.183329136237724,58.66280533870562,75.92545958196928,69.78091160916645,69.85645933014354
r043s034,rows,43,34,4122,0.6550737096796038,2.582472324371338,2.1763102294183243,1.0,1.387397771254182,255,1.0,0.24012475517690426,0.30571258691295644,0.2107314566136185,85.21782926215059,85.87257617728532,74.91815663560816,58.66280533870562,77.73860488541929,78.34298665323595,78.34298665323595
r043s035,rows,43,35,4122,0.7619999999878928,2.3966336250305176,0.7945635784120608,0.6166666666666667,0.5959226838090458,300,1.0,0.12214332169504066,0.18142109657340652,0.12775039421228299,71.165953160413,16.393855452027196,33.41727524553009,5.326114328884412,21.833291362377235,13.724502644170233,13.497859481238983
r043s036,rows,43,36,4122,0.7619999999878928,2.641955614089966,1.6429061568978067,0.8566666666666667,1.2321796176733553,300,1.0,0.21575869064432032,0.26459066079203575,0.18349660273391905,89.32258876857216,51.170989675144796,67.89221858473937,11.772853185595569,71.59405691261647,53.46260387811634,52.4301183580962
r043s037,rows,43,37,4122,0.6704788537002678,2.6495115756988525,2.236015303929647,1.0,1.509310330152512,270,1.0,0.23557998620299334,0.3008106163885086,0.208341934521689,89.67514479979853,89.85142281541172,82.42256358599849,58.66280533870562,76.02618987660539,76.15210274490053,76.83203223369428
r043s038,rows,43,38,4123,0.20563232105084867,0.9014726877212524,0.7409040288130442,1.0,0.13891950540244583,75,1.0,0.1757676556310789,0.23124210313426155,0.1630728564342163,3.9284814908083607,11.986905061697307,4.129942080080584,58.66280533870562,56.83706874842609,30.319818685469656,30.697557290355075
r043s039,rows,43,39,4123,0.7619999999878928,1.030631184577942,0.46393545079239024,0.76,0.3479515880942927,300,1.0,0.0635459296939707,0.1268560630767745,0.09044295843868422,9.242004532863259,4.860236716192395,17.149332661798038,9.216821959204232,9.921934021657014,8.562075044069504,8.511709896751448
r043s040,rows,43,40,4123,0.7619999999878928,0.7195454239845276,0.23211245742738054,0.48333333333333334,0.17408434307053544,300,1.0,-0.012924924134505593,0.0535747091091208,0.038852369783016635,0.8813900780659782,1.7375975824729286,6.245278267438932,2.5434399395618232,1.6368672878368171,1.057668093679174,1.057668093679174
r043s041,rows,43,41,4123,0.7619999999878928,0.9282649159431458,0.6868968225588712,0.9766666666666667,0.5151726169191535,300,1.0,0.16618978523035338,0.22255693226994006,0.15617124385635436,5.2883404683958695,9.267187106522288,26.189876605389074,14.366658272475446,51.498363132712164,25.812138000503655,25.459581969277263
r043s042,rows,43,42,4123,0.30463385287652645,0.9155372381210327,0.7305611724654834,1.0,0.21916835173964505,120,1.0,0.17958067025119384,0.23878228252285022,0.16774632685912885,4.558045832284059,11.508436162175775,8.839083354318811,58.66280533870562,58.75094434651221,34.80231679677663,35.12969025434399
r043s043,rows,43,43,4124,0.5714722693667286,1.75070059299469,1.506415090031094,1.0,0.8473584881424906,225,1.0,0.2416785128849471,0.32956747324941477,0.22528660623671773,32.93880634600856,42.23117602618988,48.07353311508436,58.66280533870562,78.44371694787208,89.07076303198187,88.61747670611936
r043s044,rows,43,44,4124,0.7619999999878928,1.659812092781067,1.1870083944126963,0.9566666666666667,0.8902562958095225,300,1.0,0.13747600592016904,0.20380235668077262,0.1427353996049155,26.240241752707128,30.722739864014102,49.83631327121632,13.535633341727523,32.057416267942585,18.68546965499874,18.030722739864014
r043s045,rows,43,45,4124,0.7619999999878928,1.6843976974487305,0.9178587883238742,0.8666666666666667,0.6883940912429058,300,1.0,0.08062040865357016,0.13589249054452474,0.09686063308649462,27.826743893225885,20.146058927222363,39.48627549735583,11.99949634852682,11.332158146562579,9.569377990430622,9.670108285066734
r043s046,rows,43,46,4124,0.7619999999878928,1.8462544679641724,1.3860313064853351,1.0,1.0395234798640014,300,1.0,0.22163517063556837,0.28022249068488636,0.19438989824774938,39.23444976076555,35.28078569629816,54.797280282044824,58.66280533870562,72.87836816922689,64.69403173004281,64.81994459833795
r043s048,rows,43,48,4125,0.7620000000461005,1.813022255897522,1.4672841088473796,0.9966666666666667,1.100463081635535,300,1.0,0.20988080650377675,0.2836733422341332,0.195929156620956,37.396121883656505,39.964744396877364,58.62503147821707,16.796776630571646,70.13346764039284,66.93528078569629,66.43162931251574
r043s049,rows,43,49,4125,0.7619999999878928,1.679332971572876,0.5863309880301101,0.6433333333333333,0.43974824102258264,300,1.0,0.00731616591603888,0.08099603209336351,0.05804657311731186,27.499370435658527,6.9503903298917145,21.5311004784689,6.232686980609419,3.676655754218081,3.5759254595819687,3.500377738604885
r043s050,rows,43,50,4125,0.7619999999878928,1.7419607639312744,0.9595076282529681,0.8566666666666667,0.7196307211897262,300,1.0,0.13954254520113515,0.18657537838430954,0.13142317183165383,32.15814656257869,21.052631578947366,40.745404180307226,11.772853185595569,33.71946612943843,14.278519264668848,14.177788970032736
r043s051,rows,43,51,4125,0.42714219099163336,1.8184092044830322,1.493410275741057,1.0,0.6160317387431861,165,1.0,0.22110123871989346,0.2681371894297423,0.18705785664372326,37.69831276756484,41.37496852178293,34.82749937043566,58.66280533870562,72.85318559556787,56.18232183329136,56.912616469403176
