unit_id,method,label,area_m2,height_max_m,height_mean_m,canopy_cover,volume_m3,n_pixels,data_coverage,vari_mean,exg_mean,gli_mean,height_max_m_pct,height_mean_m_pct,volume_m3_pct,canopy_cover_pct,vari_mean_pct,exg_mean_pct,gli_mean_pct
c00150,watershed,150,3.6056250002374868,1.7252240180969238,1.2700670851385536,0.9958592132505176,4.600818015926716,1449,1.0,0.3494691923278409,0.46554553627693784,0.30207025356104145,56.481481481481474,73.76543209876543,60.18518518518518,41.9753086419753,90.4320987654321,93.20987654320987,93.20987654320987
c00151,watershed,151,3.7974999998934797,1.6970816850662231,1.2710317808452223,0.9801849405548216,4.810855290512035,1514,1.0,0.3606562630244682,0.4879881633431262,0.3171146231820145,53.39506172839506,74.07407407407408,63.580246913580254,8.024691358024691,93.51851851851852,95.98765432098766,95.67901234567901
c00152,watershed,152,2.7274999999668217,1.7116588354110718,1.2645927792999847,0.984573502722323,3.4839531069807763,1102,1.0,0.3436809091901808,0.4422465107755295,0.29369082967115223,54.93827160493827,71.60493827160494,47.53086419753087,14.814814814814813,87.65432098765432,89.19753086419753,89.19753086419753
c00153,watershed,153,2.5312499999010467,1.67049241065979,1.3154343421592103,0.9891411648568608,3.3313374715271107,1013,1.0,0.27009100615549814,0.33234748317794965,0.22631027823644104,49.691358024691354,82.4074074074074,45.06172839506173,21.604938271604937,43.20987654320987,50.308641975308646,50.308641975308646
c00154,watershed,154,2.2318749999007563,1.6836189031600952,1.211892620960388,0.9944071588366891,2.708580007853712,894,1.0,0.26497515789780113,0.30702378990489787,0.21113375079799104,51.54320987654321,60.18518518518518,35.49382716049383,35.49382716049383,40.123456790123456,31.48148148148148,34.876543209876544
c00155,watershed,155,5.557500000009605,1.672499418258667,1.1060070096911632,1.0,6.163224061520491,2229,1.0,0.19133492994391094,0.23918892930300673,0.1647289649531893,50.0,36.7283950617284,70.37037037037037,83.48765432098766,6.172839506172839,7.716049382716049,7.716049382716049
c00156,watershed,156,2.691875000117288,1.680671215057373,1.2260026619881117,1.0,3.3285972273066267,1086,1.0,0.29018318396801235,0.42242395711969094,0.280115262717603,50.617283950617285,62.96296296296296,44.75308641975309,83.48765432098766,58.333333333333336,84.25925925925925,83.9506172839506
c00157,watershed,157,3.9381249999982524,1.7039058208465576,1.2385524044127698,0.9918136020151134,4.917053045531849,1588,1.0,0.2265008889748059,0.27326052724085165,0.1875905201928318,54.32098765432099,66.9753086419753,65.12345679012346,27.77777777777778,15.432098765432098,15.123456790123457,15.432098765432098
c00158,watershed,158,3.3362500001461015,1.6399372816085815,1.2183807627141208,0.9992520568436799,4.072437699382842,1337,1.0,0.34349527205924785,0.4083801311190842,0.27021729815891493,46.60493827160494,61.72839506172839,54.93827160493827,62.65432098765432,87.34567901234568,79.32098765432099,77.1604938271605
c00159,watershed,159,3.660000000220898,1.65818452835083,1.201404123170764,0.9892617449664429,4.475230358823065,1490,1.0,0.19532122242918495,0.24308203323976257,0.1680811582659218,48.148148148148145,58.64197530864198,58.64197530864198,21.91358024691358,7.4074074074074066,9.25925925925926,8.950617283950617
